#,id,year,people_w
1,1,1949,1275
2,2,1950,1419
3,3,1951,1349
4,4,1952,1622
5,5,1953,1637
6,6,1954,2232
7,7,1955,1965
8,8,1956,1961
9,9,1957,2138
10,10,1958,1889
11,11,1959,1635
12,12,1960,1402
13,13,1961,949
14,14,1962,2451
15,15,1963,2934
16,16,1964,2721
17,17,1965,2679
18,18,1966,2554
19,19,1967,2543
20,20,1968,2731
21,21,1969,2690
22,22,1970,2710
23,23,1971,2551
24,24,1972,2550
25,25,1973,2447
26,26,1974,2226
27,27,1975,2102
28,28,1976,1849
29,29,1977,1783
30,30,1978,1733
31,31,1979,1715
32,32,1980,1776
33,33,1981,2064
34,34,1982,2230
35,35,1983,2052
36,36,1984,2050
37,37,1985,2196
38,38,1986,2374
39,39,1987,2508
40,40,1988,2445
41,41,1989,2396
42,42,1990,2374
43,43,1991,2250
44,44,1992,2113
45,45,1993,2120
46,46,1994,2098
47,47,1995,2052
48,48,1996,2057
49,49,1997,2028
50,50,1998,1934
51,51,1999,1827
52,52,2000,1765
53,53,2001,1696
54,54,2002,1641
55,55,2003,1594
56,56,2004,1588
57,57,2005,1612
58,58,2006,1581
59,59,2007,1591
60,60,2008,1604
61,61,2009,1587
62,62,2010,1588
63,63,2011,1600
64,64,2012,1635
65,65,2013,1640
66,66,2014,1687
67,67,2015,1655
68,68,2016,1786
69,69,2017,1723
70,70,2018,1523
71,71,2019,1465
72,72,2020,1300
73,73,2021,1300
74,74,2022,1300
75,75,2023,1300
76,76,2024,1300
77,77,2025,1300
78,78,2026,1300
79,79,2027,1300
80,80,2028,1300
81,81,2029,1300
82,82,2030,1300
83,83,2031,1300
84,84,2032,1300
85,85,2033,1300
86,86,2034,1300
87,87,2035,1300
88,88,2036,1300
89,89,2037,1300
90,90,2038,1300
91,91,2039,1300
92,92,2040,1300
93,93,2041,1300
94,94,2042,1300
95,95,2043,1300
96,96,2044,1300
97,97,2045,1300
98,98,2046,1300
99,99,2047,1300
100,100,2048,1300
101,101,2049,1300
102,102,2050,1300
103,103,2051,1300
104,104,2052,1300
105,105,2053,1300
